2010-08-08 08:45:00 Debug: Notice (8): Undefined offset: 2 in [APP\controllers\shopps_controller.php, line 126]
2010-08-08 10:16:32 Debug: Notice (8): Undefined property: ShoppsController::$Shopp in [APP\controllers\shopps_controller.php, line 83]
2010-08-08 10:17:11 Debug: Notice (8): Undefined property: ShoppsController::$Shopp in [APP\controllers\shopps_controller.php, line 89]
2010-08-08 10:17:42 Debug: Notice (8): Undefined property: ShoppsController::$Shopp in [APP\controllers\shopps_controller.php, line 89]
2010-08-08 10:23:02 Debug: Notice (8): Undefined property: ShoppsController::$Shopp in [APP\controllers\shopps_controller.php, line 89]
2010-08-08 10:25:47 Debug: Notice (8): Undefined property: ShoppsController::$Shopp in [APP\controllers\shopps_controller.php, line 89]
2010-08-08 10:39:03 Debug: Notice (8): Undefined property: ShoppsController::$Model in [APP\controllers\shopps_controller.php, line 89]
2010-08-08 10:52:01 Debug: Notice (8): Undefined variable: url in [APP\models\produto.php, line 141]
2010-08-08 10:52:01 Debug: Notice (8): Undefined variable: params in [APP\models\produto.php, line 141]
2010-08-08 10:52:01 Debug: Notice (8): Undefined variable: url in [APP\models\produto.php, line 141]
2010-08-08 10:52:01 Debug: Notice (8): Undefined variable: params in [APP\models\produto.php, line 141]
2010-08-08 11:16:28 Debug: Notice (8): Undefined property: Produto::$Webservice in [APP\models\produto.php, line 153]
2010-08-08 11:16:45 Debug: Notice (8): Undefined property: Produto::$webservice in [APP\models\produto.php, line 153]
2010-08-08 12:13:35 Debug: Notice (8): Undefined variable: retorno in [APP\models\produto.php, line 158]
2010-08-08 12:13:35 Debug: Notice (8): Undefined variable: retorno in [APP\models\produto.php, line 158]
2010-08-08 12:17:37 Debug: Notice (8): Undefined property: Produto::$Webservice in [APP\models\produto.php, line 155]
2010-08-08 12:17:45 Debug: Notice (8): Undefined property: Produto::$webservice in [APP\models\produto.php, line 155]
2010-08-08 17:39:20 Debug: Notice (8): Undefined index: calculo_precos in [APP\controllers\shopps_controller.php, line 84]
2010-08-08 17:41:02 Debug: Notice (8): Undefined property: Cliente::$GrupoAcesso in [APP\controllers\clientes_controller.php, line 31]
2010-08-08 18:46:54 Debug: Notice (8): Undefined variable: results in [APP\controllers\shopps_controller.php, line 226]
2010-08-08 18:46:54 Debug: Notice (8): Undefined index: calculo_precos in [APP\controllers\shopps_controller.php, line 85]
2010-08-08 18:46:54 Debug: Notice (8): Undefined variable: results in [APP\controllers\shopps_controller.php, line 226]
2010-08-08 18:46:54 Debug: Notice (8): Undefined index: calculo_precos in [APP\controllers\shopps_controller.php, line 85]
2010-08-08 18:48:52 Debug: Notice (8): Undefined variable: caixas in [APP\controllers\shopps_controller.php, line 220]
2010-08-08 18:48:55 Debug: Notice (8): Undefined variable: caixas in [APP\controllers\shopps_controller.php, line 220]
2010-08-08 18:52:01 Debug: Notice (8): Undefined variable: res in [APP\controllers\shopps_controller.php, line 224]
2010-08-08 18:52:15 Debug: Notice (8): Undefined variable: res in [APP\controllers\shopps_controller.php, line 224]
